model,rebalance_number,decision_date,effective_start_date,segment_end_date,n_obs_total_segment,n_obs_regression,min_obs_pass,alpha,beta_mkt_rf,beta_smb,beta_hml,factor_exposure_entropy,factor_exposure_entropy_normalized,r_squared
CAUSAL_XGBOOST,23,2025-11-05,2025-11-06,2025-12-08,21,21,True,-9.539535823303063e-05,0.3587736431665891,0.0034982625066660627,0.12806587368840933,0.6144907212704849,0.5593335588986136,0.9044818224527008
CAUSAL_XGBOOST,24,2025-12-08,2025-12-09,2025-12-31,16,16,True,-5.5739668339408464e-05,0.5721491360173596,-0.061721543926818966,0.1847124327448343,0.7811930854597379,0.7110725899551046,0.9296056696391788
EWMA,1,2023-12-28,2023-12-29,2024-01-30,21,21,True,-0.0003945110703832256,0.4934513390372311,-0.014122999338950303,0.09139055359169203,0.5348638765599786,0.4868540813505871,0.8030387211898335
EWMA,2,2024-01-30,2024-01-31,2024-02-29,21,21,True,-0.00019023590239671312,0.4180239732766467,0.09693614411485746,0.054318046639059564,0.7524039242804819,0.6848675661480633,0.8418014895677147
EWMA,3,2024-02-29,2024-03-01,2024-04-01,21,21,True,0.0006141298234995109,0.4324299225242407,0.11585026764945097,0.027237116114963305,0.6818321784212587,0.6206303947754582,0.831676172819857
EWMA,4,2024-04-01,2024-04-02,2024-04-30,21,21,True,-5.945056579830246e-05,0.5228248134572976,0.12871225245916754,0.1770309028153284,0.9095675654525868,0.8279240773424178,0.9309928655350641
EWMA,5,2024-04-30,2024-05-01,2024-05-30,21,21,True,-0.00027950443231772727,0.6302612055327116,0.12392252091925625,0.15110516950327813,0.8231431271875742,0.749257163494414,0.9436311530383715
EWMA,6,2024-05-30,2024-05-31,2024-07-01,21,21,True,-0.00022181132215012318,0.5289611622487687,0.05328420817622375,0.07186890413080023,0.6186529002150019,0.5631221374421532,0.602761590848708
EWMA,7,2024-07-01,2024-07-02,2024-07-31,21,21,True,7.428986413475096e-05,0.5723251299051351,0.04884385874547857,0.1078368345419296,0.6537650673875955,0.5950826093345272,0.877605778603505
EWMA,8,2024-07-31,2024-08-01,2024-08-29,21,21,True,0.00035461826078936966,0.4223207192397393,0.03041420311037027,0.07535023393827113,0.6209480983666322,0.5652113168326486,0.9419079591297804
EWMA,9,2024-08-29,2024-08-30,2024-09-30,21,21,True,3.3266110829457045e-05,0.3832847235296349,0.06868959958969902,0.07493112257144316,0.7744786385945237,0.704960837033285,0.8160819630331928
EWMA,10,2024-09-30,2024-10-01,2024-10-30,21,21,True,-0.0005841310663700611,0.30902307809515894,0.04215893985556434,0.06836740459114754,0.7517507133173844,0.6842729879061893,0.5597954193946204
EWMA,11,2024-10-30,2024-10-31,2024-12-02,21,21,True,-0.0001227462641576549,0.23911927559724322,0.14805589566234456,-0.10838963796134765,1.0450112862694825,0.9512102650302502,0.684209259807167
EWMA,12,2024-12-02,2024-12-03,2025-01-02,21,21,True,6.969914417857411e-05,0.44011573635985973,0.16654534646506952,0.209450698759331,1.006395709326839,0.9160608521382293,0.9307612414890134
EWMA,13,2025-01-02,2025-01-03,2025-02-04,21,21,True,0.0005316563907170088,0.3661972842653647,0.16739983227087563,0.10481387424593604,0.9664532247972659,0.8797036359104763,0.8673373010616602
EWMA,14,2025-02-04,2025-02-05,2025-03-06,21,21,True,0.0008759087575101227,0.3412253508529633,0.1349079578237177,0.05068003071131396,0.855392121099501,0.7786114627722998,0.8665518619460444
